EngagementID,ContentID,ContentType,Likes,Views,Clicks,CampaignID,ProductID,EngagementDate
157,36,SOCIALMEDIA,7,743,47,10,3,14.01.25
158,17,NEWSLETTER,207,4613,1539,4,12,03.06.23
159,29,SOCIALMEDIA,9,361,64,5,18,04.10.24
160,2,NEWSLETTER,0,811,21,17,6,28.12.25
161,39,BLOG,180,4407,1105,18,19,19.04.24
162,23,BLOG,7,1211,104,17,14,17.03.25
163,9,VIDEO,233,4613,1553,16,5,08.01.23
164,6,SOCIALMEDIA,32,2995,432,6,14,07.09.24
165,44,NEWSLETTER,314,2831,1085,8,5,27.04.23
166,30,NEWSLETTER,37,1671,280,13,5,15.10.23
167,19,NEWSLETTER,564,8049,2900,8,3,17.07.23
168,36,SOCIALMEDIA,21,1969,201,15,14,14.05.25
169,26,NEWSLETTER,1,101,11,10,2,18.10.24
170,46,NEWSLETTER,1,968,37,13,13,02.10.25
171,46,VIDEO,0,79,2,1,19,05.11.25
172,26,SOCIALMEDIA,15,801,97,9,1,13.12.23
173,20,VIDEO,393,6025,2221,17,3,09.05.23
174,16,SOCIALMEDIA,27,5073,312,3,18,16.05.24
175,4,VIDEO,16,3550,300,15,16,10.06.24
176,9,SOCIALMEDIA,16,1142,121,5,4,28.06.23
177,2,BLOG,773,8103,1781,5,7,24.03.23
178,21,NEWSLETTER,95,3906,465,11,13,11.09.23
179,25,VIDEO,3,1052,65,19,19,04.05.25
180,39,BLOG,113,4079,473,11,12,18.01.24
181,16,VIDEO,12,2963,199,14,13,02.02.25
182,7,VIDEO,6,422,68,20,12,29.04.24
183,50,BLOG,5,1395,87,4,16,25.01.25
184,27,BLOG,0,168,6,13,15,31.08.25
185,10,BLOG,66,2229,255,9,2,09.03.24
186,9,NEWSLETTER,24,2308,187,11,13,16.12.24
187,45,BLOG,197,2478,717,6,10,29.03.24
188,18,BLOG,2,2009,53,20,7,19.04.25
189,50,BLOG,266,2523,840,4,9,14.10.23
190,1,NEWSLETTER,400,5753,1480,17,11,13.05.23
191,23,NEWSLETTER,13,2687,123,18,19,30.01.25
192,41,SOCIALMEDIA,54,1556,312,10,12,24.09.24
193,30,BLOG,26,3358,400,9,2,28.07.24
194,34,SOCIALMEDIA,125,5719,587,15,10,15.08.23
195,13,SOCIALMEDIA,1,76,7,10,10,07.06.24
196,33,VIDEO,0,769,28,13,4,01.12.25
197,20,VIDEO,172,5012,1452,4,11,31.12.23
198,4,VIDEO,117,2336,1076,8,12,01.02.23
199,6,SOCIALMEDIA,4,1754,63,1,5,28.04.25
200,38,NEWSLETTER,72,653,240,14,10,23.02.23
201,14,BLOG,0,786,21,1,5,27.06.25
202,9,VIDEO,1,680,27,17,2,20.04.25
203,13,SOCIALMEDIA,306,4496,1368,1,18,04.01.23
204,15,NEWSLETTER,6,1799,160,11,7,04.12.24
205,18,NEWSLETTER,253,5215,741,13,1,28.02.23
206,14,BLOG,7,1992,109,9,20,06.04.25
207,50,NEWSLETTER,6,440,50,1,14,10.02.25
208,31,BLOG,2,131,32,15,18,24.04.24
209,25,VIDEO,1,779,24,3,7,10.08.25
210,8,SOCIALMEDIA,232,2113,624,13,12,23.08.23
211,15,SOCIALMEDIA,0,632,17,12,1,24.06.25
212,17,BLOG,3,379,20,18,16,06.12.24
213,9,NEWSLETTER,24,159,53,16,3,01.02.23
214,3,SOCIALMEDIA,0,423,20,16,1,20.05.25
215,17,BLOG,21,4381,303,14,3,13.12.23
216,32,VIDEO,234,4938,1068,4,17,06.08.23
217,10,VIDEO,279,6297,1624,4,12,30.01.23
218,50,VIDEO,80,2280,480,18,9,18.09.24
219,45,SOCIALMEDIA,376,2900,1294,5,20,15.03.23
220,24,NEWSLETTER,53,4512,432,11,4,16.01.24
221,24,NEWSLETTER,51,1671,199,6,20,09.03.24
222,12,BLOG,0,93,4,17,8,16.08.25
223,17,SOCIALMEDIA,2,1157,42,3,4,10.08.25
224,11,BLOG,4,1625,62,7,4,18.06.25
225,20,SOCIALMEDIA,71,2610,245,13,3,29.05.23
226,19,NEWSLETTER,5,301,37,7,10,03.02.25
227,21,NEWSLETTER,5,918,73,20,10,06.03.25
228,35,VIDEO,0,780,18,2,19,02.11.25
229,18,VIDEO,291,2361,746,17,12,27.01.23
230,30,NEWSLETTER,23,1489,162,3,10,10.01.25
231,29,NEWSLETTER,39,2236,396,13,8,23.05.23
232,38,VIDEO,105,4956,495,8,8,09.09.23
233,30,SOCIALMEDIA,0,1063,20,1,11,05.08.25
234,23,BLOG,7,191,41,11,7,13.03.24
235,22,NEWSLETTER,78,3808,520,2,19,12.08.24
236,27,NEWSLETTER,78,1857,324,16,13,15.01.24
237,20,NEWSLETTER,0,579,10,5,1,24.10.25
238,42,BLOG,14,1426,167,9,15,19.11.23
239,11,VIDEO,10,1445,83,11,10,24.09.24
240,34,VIDEO,0,801,38,20,1,23.10.25
241,4,VIDEO,41,2226,478,17,6,04.06.23
242,38,VIDEO,70,2178,280,17,19,13.05.23
243,2,NEWSLETTER,336,3829,1284,6,3,05.04.23
244,8,NEWSLETTER,22,1907,282,11,18,03.02.25
245,39,VIDEO,339,9002,2059,10,7,15.02.23
246,30,VIDEO,256,4556,1277,20,5,06.03.24
247,40,BLOG,193,5576,860,9,1,01.02.24
248,45,BLOG,1,680,24,16,4,23.04.25
249,47,VIDEO,0,194,12,10,11,21.06.25
250,9,VIDEO,708,3931,1744,17,15,01.03.23
251,24,SOCIALMEDIA,0,254,17,2,10,22.03.25
252,29,SOCIALMEDIA,0,456,8,10,5,16.11.25
253,46,VIDEO,363,2279,972,16,3,11.04.23
254,16,VIDEO,0,328,12,1,6,18.09.25
255,4,NEWSLETTER,63,3126,617,19,4,12.10.24
256,16,BLOG,29,3106,290,15,15,04.01.25
257,16,NEWSLETTER,0,622,20,7,19,03.12.25
258,32,SOCIALMEDIA,132,3715,1027,7,3,28.10.23
259,41,NEWSLETTER,29,1629,388,1,17,20.07.24
260,7,VIDEO,14,1920,177,15,13,08.04.25
261,36,VIDEO,12,852,79,17,15,05.01.25
262,32,BLOG,0,171,6,10,6,07.07.25
263,3,NEWSLETTER,11,2044,132,20,8,23.04.25
264,35,SOCIALMEDIA,0,473,23,16,10,20.07.25
265,10,SOCIALMEDIA,5,164,64,1,5,24.07.23
266,13,BLOG,0,553,16,13,9,19.03.25
267,34,VIDEO,42,4348,376,14,7,18.11.23
268,23,SOCIALMEDIA,235,5367,1627,3,12,30.01.23
269,43,SOCIALMEDIA,232,6484,763,3,16,22.10.23
270,35,NEWSLETTER,203,4749,2069,20,1,17.04.23
271,28,SOCIALMEDIA,0,774,27,19,1,12.11.25
272,50,VIDEO,0,198,8,8,15,25.10.25
273,10,BLOG,60,506,175,9,19,11.11.23
274,20,VIDEO,820,5486,1725,12,2,14.02.23
275,19,NEWSLETTER,9,951,117,10,8,02.04.25
276,27,SOCIALMEDIA,13,1079,73,11,17,10.10.24
277,15,NEWSLETTER,285,4437,789,8,13,26.09.23
278,38,NEWSLETTER,426,8679,967,2,10,02.05.23
279,50,NEWSLETTER,13,1741,86,3,3,13.09.24
280,21,SOCIALMEDIA,9,779,88,18,11,20.11.24
281,34,SOCIALMEDIA,0,115,5,9,18,06.04.25
282,35,BLOG,1,998,72,13,14,19.06.25
283,17,BLOG,1,961,29,10,16,26.05.25
284,30,VIDEO,41,3654,231,1,7,01.11.24
285,12,BLOG,25,2374,300,10,15,04.02.25
286,2,VIDEO,6,745,78,17,9,08.03.25
287,41,SOCIALMEDIA,0,625,25,2,17,13.11.25
288,21,SOCIALMEDIA,255,7333,1200,6,10,02.07.23
289,16,BLOG,40,2622,364,6,2,24.11.24
290,20,SOCIALMEDIA,521,6881,2028,13,7,25.09.23
291,34,NEWSLETTER,47,1683,321,18,12,29.08.24
292,47,BLOG,259,6436,1497,7,15,11.07.23
293,35,SOCIALMEDIA,91,1712,395,13,5,04.07.24
294,38,BLOG,523,7071,1859,15,16,31.10.23
295,27,VIDEO,520,5666,1655,1,17,15.12.23
296,37,SOCIALMEDIA,169,3196,1111,14,13,15.02.23
297,41,VIDEO,69,2929,410,12,12,16.10.24
298,13,NEWSLETTER,0,151,2,6,1,18.09.25
299,14,SOCIALMEDIA,48,1026,320,14,20,22.06.23
300,8,NEWSLETTER,8,1055,66,8,14,25.02.24
301,3,NEWSLETTER,69,3988,570,19,10,17.12.23
302,49,SOCIALMEDIA,0,683,20,9,20,26.11.25
303,32,BLOG,0,167,2,17,1,09.08.25
304,43,BLOG,18,2308,261,2,20,18.04.25
305,14,VIDEO,152,6103,790,17,19,11.07.23
306,26,BLOG,0,48,2,16,10,27.10.25
307,29,BLOG,31,1616,190,10,11,04.12.24
308,40,VIDEO,25,1902,365,17,13,15.03.24
309,11,NEWSLETTER,2,1513,68,9,10,30.05.25
310,23,NEWSLETTER,69,2673,537,11,7,17.05.23
311,33,VIDEO,210,6357,968,11,13,13.10.23
312,22,NEWSLETTER,570,9205,1157,3,7,04.01.23
313,15,NEWSLETTER,316,6876,1581,6,19,10.05.23
314,27,VIDEO,10,694,81,1,18,29.09.24
315,35,NEWSLETTER,1,152,13,2,9,02.11.24
316,3,SOCIALMEDIA,27,1508,196,4,19,11.11.24
317,42,SOCIALMEDIA,94,1974,785,16,10,16.07.23
318,34,SOCIALMEDIA,1,378,29,12,20,20.06.25
319,37,NEWSLETTER,17,1123,137,10,7,18.09.24
320,12,VIDEO,5,440,85,8,3,19.09.24
321,27,SOCIALMEDIA,5,1057,58,15,12,21.06.25
322,41,VIDEO,0,32,0,15,4,04.09.25
323,11,NEWSLETTER,6,1833,197,15,6,07.05.25
324,15,NEWSLETTER,2,497,40,3,12,05.06.25
325,35,BLOG,7,1092,56,10,9,27.01.25
326,46,BLOG,14,3117,213,1,9,12.11.24
327,27,BLOG,42,603,133,20,14,03.01.24
328,26,SOCIALMEDIA,32,2884,144,11,10,28.08.24
329,18,VIDEO,197,3374,773,3,19,27.04.24
330,22,NEWSLETTER,943,8091,2991,9,1,09.06.23
331,28,SOCIALMEDIA,3,499,28,2,12,25.04.25
332,11,BLOG,53,2533,355,1,11,03.09.23
333,50,VIDEO,110,5670,734,4,6,26.01.23
334,37,NEWSLETTER,339,4405,1143,19,8,27.04.23
335,19,BLOG,11,1084,118,19,10,17.12.24
336,50,VIDEO,41,1619,249,11,4,02.10.24
337,5,VIDEO,75,1915,382,15,5,05.05.24
338,41,BLOG,23,2000,198,5,1,01.01.25
339,26,NEWSLETTER,460,6753,2013,3,1,21.09.23
340,6,SOCIALMEDIA,455,5854,1604,20,14,25.03.24
341,14,SOCIALMEDIA,7,1679,174,10,9,06.01.25
342,10,BLOG,199,2100,713,4,6,13.03.23
343,36,VIDEO,4,79,19,10,15,19.05.24
344,15,BLOG,0,347,16,16,10,04.11.25
345,14,VIDEO,781,7762,2590,19,13,02.07.23
346,1,SOCIALMEDIA,20,1758,182,2,20,21.08.24
347,21,VIDEO,244,2401,713,5,15,09.10.23
348,7,NEWSLETTER,29,2316,164,1,13,29.08.24
349,21,SOCIALMEDIA,117,4394,592,19,6,28.07.24
350,9,NEWSLETTER,296,4529,1221,12,20,11.09.23
351,24,BLOG,4,478,30,18,12,19.03.24
352,16,NEWSLETTER,94,2585,319,14,8,05.01.23
353,28,BLOG,12,847,126,11,9,18.01.25
354,27,BLOG,0,720,21,7,18,10.11.25
355,38,VIDEO,54,3382,532,6,2,07.11.24
356,23,BLOG,94,3688,808,2,5,21.01.24
357,1,SOCIALMEDIA,31,3251,157,7,7,11.10.24
358,35,BLOG,0,74,2,4,6,10.03.25
359,5,VIDEO,633,5643,1767,6,20,02.07.23
360,50,NEWSLETTER,43,2486,463,6,3,19.07.24
361,35,VIDEO,26,1656,164,15,13,24.06.23
362,12,SOCIALMEDIA,355,7779,1000,14,14,10.05.23
363,39,VIDEO,97,2018,441,20,1,17.04.24
364,3,BLOG,1284,7805,3328,6,20,24.02.23
365,15,BLOG,0,448,9,14,17,09.10.25
366,33,SOCIALMEDIA,27,2951,221,5,13,23.09.24
367,17,SOCIALMEDIA,0,75,1,1,20,20.10.25
368,8,VIDEO,185,4897,982,15,8,16.04.24
369,6,SOCIALMEDIA,180,1289,449,15,11,20.02.23
370,45,SOCIALMEDIA,13,1918,118,7,14,12.08.24
371,14,NEWSLETTER,39,3206,245,19,16,01.08.24
372,37,NEWSLETTER,271,5168,1366,3,2,12.02.24
373,45,SOCIALMEDIA,241,4519,1024,3,17,26.06.24
374,24,BLOG,333,5248,1210,10,15,15.04.24
375,44,BLOG,0,439,11,7,9,06.11.25
376,37,BLOG,100,4372,899,1,8,23.08.24
377,16,BLOG,1,148,16,16,16,30.03.25
378,22,VIDEO,526,7680,2029,14,18,19.08.23
379,19,VIDEO,66,1942,392,10,18,15.03.24
380,41,SOCIALMEDIA,3,273,33,20,16,20.01.25
381,49,VIDEO,10,2509,181,20,3,28.02.25
382,24,BLOG,30,286,95,1,2,04.05.23
383,20,NEWSLETTER,522,8138,1754,20,6,23.06.23
384,34,SOCIALMEDIA,305,7361,2639,10,8,16.04.23
385,34,SOCIALMEDIA,33,2505,324,5,8,21.06.24
386,22,BLOG,0,448,21,16,18,10.12.25
387,38,SOCIALMEDIA,74,2680,441,6,8,27.11.24
388,31,SOCIALMEDIA,533,5684,1754,6,3,09.01.23
389,42,SOCIALMEDIA,46,1548,309,4,1,24.05.24
390,31,BLOG,526,5569,1596,15,7,11.09.23
391,24,NEWSLETTER,2,555,29,14,18,04.04.25
392,12,SOCIALMEDIA,10,972,132,16,6,06.03.25
393,38,SOCIALMEDIA,4,1649,89,5,4,28.06.25
394,19,VIDEO,41,1434,320,8,17,23.05.23
395,26,VIDEO,681,4746,2012,3,1,09.02.23
396,30,BLOG,30,1770,194,14,14,25.11.24
397,18,NEWSLETTER,487,3491,1278,18,9,20.05.23
398,27,BLOG,0,522,21,12,20,17.09.25
399,32,NEWSLETTER,380,4548,1543,5,1,05.04.23
400,37,BLOG,34,1815,324,6,2,30.08.24
401,41,BLOG,1,1305,30,12,17,16.07.25
402,2,VIDEO,950,9328,4574,14,5,04.01.23
403,22,VIDEO,18,2059,119,18,11,18.08.24
404,43,NEWSLETTER,22,2848,381,12,8,07.10.24
405,42,NEWSLETTER,110,2490,541,6,7,13.06.24
406,36,SOCIALMEDIA,137,6347,741,16,7,09.09.23
407,20,BLOG,0,318,6,7,16,04.09.25
408,12,NEWSLETTER,33,1097,199,4,12,12.08.24
409,28,BLOG,4,412,37,13,5,25.02.24
410,23,SOCIALMEDIA,105,3711,543,20,2,08.09.24
411,3,BLOG,503,5430,1637,20,12,13.01.24
412,28,NEWSLETTER,1,836,46,14,16,06.06.25
413,28,BLOG,21,2164,250,5,8,18.08.24
414,28,SOCIALMEDIA,130,4684,502,9,3,06.02.24
415,35,BLOG,6,1922,94,15,16,30.05.25
416,25,NEWSLETTER,157,4543,1195,5,19,27.11.23
417,29,BLOG,43,3275,256,6,2,09.05.24
418,35,VIDEO,1,846,28,10,15,02.09.25
419,39,SOCIALMEDIA,409,2803,978,7,10,28.02.23
420,23,BLOG,188,4713,1086,1,13,30.10.23
421,35,BLOG,1,557,36,14,8,31.07.25
422,46,BLOG,1,1064,63,15,8,22.08.25
423,10,BLOG,130,3504,1178,16,6,29.11.23
424,47,VIDEO,0,101,1,2,9,20.11.25
425,26,SOCIALMEDIA,17,2097,102,20,8,05.11.24
426,23,VIDEO,34,1186,225,12,4,15.09.24
427,37,BLOG,0,235,16,15,15,16.07.25
428,2,VIDEO,0,120,3,12,17,12.12.25
429,22,VIDEO,251,4450,814,13,13,10.02.24
430,44,VIDEO,0,677,9,2,6,23.11.25
431,20,VIDEO,0,1044,14,20,16,21.08.25
432,32,NEWSLETTER,4,1773,111,9,12,17.01.25
433,26,NEWSLETTER,1,83,19,20,7,31.05.24
434,32,BLOG,0,112,3,17,17,16.06.25
435,27,VIDEO,9,580,88,19,6,18.09.24
436,40,NEWSLETTER,5,514,47,4,8,14.09.24
437,43,BLOG,71,3986,307,5,11,07.03.24
438,21,SOCIALMEDIA,186,2678,661,4,17,18.01.24
439,23,BLOG,66,3674,281,13,14,11.05.24
440,9,BLOG,3,175,18,5,20,22.04.24
441,6,SOCIALMEDIA,131,5865,712,5,18,20.02.24
442,37,NEWSLETTER,4,1693,89,14,6,28.04.25
443,5,SOCIALMEDIA,97,3591,613,8,12,05.11.24
444,47,BLOG,2,487,57,8,20,22.01.25
445,41,NEWSLETTER,5,1479,80,16,18,21.05.25
446,34,NEWSLETTER,2,1053,48,5,9,22.06.25
447,25,SOCIALMEDIA,0,877,21,2,10,09.12.25
448,25,SOCIALMEDIA,4,1705,130,7,5,17.06.25
449,25,SOCIALMEDIA,61,1147,209,10,16,27.10.23
450,1,SOCIALMEDIA,332,5462,1685,20,15,19.04.23
451,48,SOCIALMEDIA,15,624,131,5,16,18.08.24
452,38,VIDEO,15,1853,259,5,14,03.01.25
453,34,NEWSLETTER,2,1224,49,15,19,26.06.25
454,9,BLOG,46,1701,528,4,8,01.12.23
455,39,VIDEO,0,58,4,19,19,15.04.24
456,21,VIDEO,0,518,13,8,14,10.09.25
457,36,SOCIALMEDIA,67,3815,1077,16,1,17.04.24
458,30,NEWSLETTER,43,2995,415,7,7,23.06.24
459,43,SOCIALMEDIA,9,1186,129,8,2,08.12.24
460,24,SOCIALMEDIA,296,6974,1320,18,18,18.06.23
461,32,NEWSLETTER,8,204,44,19,15,20.05.24
462,11,NEWSLETTER,25,2717,304,13,2,18.09.24
463,28,NEWSLETTER,7,2060,143,13,13,04.12.24
464,17,NEWSLETTER,2,62,15,3,5,19.04.24
465,25,BLOG,134,5626,497,1,14,28.06.23
466,20,BLOG,52,3351,359,7,8,04.06.24
467,7,SOCIALMEDIA,208,4551,1228,18,4,09.06.23
468,7,SOCIALMEDIA,92,4974,408,15,20,09.09.23
469,23,SOCIALMEDIA,2,171,17,9,4,23.10.24
470,14,BLOG,6,983,64,4,1,07.02.25
471,2,VIDEO,34,2972,216,4,5,09.05.24
472,29,NEWSLETTER,94,1190,285,10,3,25.01.23
473,46,SOCIALMEDIA,27,2267,253,3,14,05.03.25
474,42,NEWSLETTER,2,1173,81,4,8,07.05.25
475,5,NEWSLETTER,3,824,70,1,20,26.03.25
476,11,BLOG,293,5021,1098,10,7,19.05.24
477,38,NEWSLETTER,20,563,105,17,6,14.10.24
478,43,SOCIALMEDIA,39,3326,410,8,13,17.10.24
479,31,SOCIALMEDIA,34,2049,331,17,19,06.10.24
480,21,SOCIALMEDIA,85,2066,387,15,2,20.09.23
481,27,BLOG,206,3561,1185,15,10,16.08.23
482,44,SOCIALMEDIA,76,1144,456,7,14,30.03.23
483,47,NEWSLETTER,7,1597,101,14,7,14.12.24
484,30,SOCIALMEDIA,67,4059,459,1,7,28.04.24
485,35,VIDEO,335,1970,817,18,20,01.05.23
486,17,VIDEO,50,2158,254,10,13,25.04.24
